Sl. No.,Management,District,Lower Primary,,,Upper Primary,,, Elementary Schools,,,Secondary,,,Higher Secondary(PU Sections) ,,
,,,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
205,8-Un-Recognised,RAMANAGARA-2932,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0
206,8-Un-Recognised,,0,2,2,1,2,3,1,4,5,0,1,1,0,0,0
207,90-Social Welfare Department Schools,BALLARI-2912,2,3,5,42,12,54,44,15,59,39,4,43,1,2,3
208,90-Social Welfare Department Schools,BELAGAVI CHIKKODI-2930,0,0,0,8,7,15,8,7,15,7,3,10,1,1,2
209,90-Social Welfare Department Schools,BELAGAVI-2901,3,1,4,12,4,16,15,5,20,8,3,11,0,1,1
210,90-Social Welfare Department Schools,BENGALURU RURAL-2921,0,0,0,9,1,10,9,1,10,7,1,8,0,0,0
211,90-Social Welfare Department Schools,BENGALURU U NORTH-2928,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
212,90-Social Welfare Department Schools,BENGALURU U SOUTH-2920,0,0,0,0,2,2,0,2,2,0,1,1,0,0,0
213,90-Social Welfare Department Schools,BIDAR-2905,0,0,0,18,0,18,18,0,18,18,0,18,2,0,2
214,90-Social Welfare Department Schools,CHAMARAJANAGARA-2927,0,0,0,6,1,7,6,1,7,6,1,7,1,0,1
215,90-Social Welfare Department Schools,CHIKKABALLAPURA-2929,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
216,90-Social Welfare Department Schools,CHIKKAMANGALURU-2917,1,0,1,12,1,13,13,1,14,10,1,11,0,0,0
217,90-Social Welfare Department Schools,DAKSHINA KANNADA-2924,0,0,0,8,3,11,8,3,11,6,2,8,1,0,1
218,90-Social Welfare Department Schools,DAVANAGERE-2914,0,0,0,19,5,24,19,5,24,11,2,13,0,1,1
219,90-Social Welfare Department Schools,DHARWAD-2909,0,0,0,2,2,4,2,2,4,2,1,3,0,0,0
220,90-Social Welfare Department Schools,GADAG-2908,2,0,2,6,8,14,8,8,16,6,4,10,0,0,0
221,90-Social Welfare Department Schools,HASSAN-2923,2,0,2,9,2,11,11,2,13,8,2,10,1,0,1
222,90-Social Welfare Department Schools,HAVERI-2911,0,0,0,3,0,3,3,0,3,3,0,3,0,1,1
223,90-Social Welfare Department Schools,KALBURGI-2904,0,0,0,5,1,6,5,1,6,5,0,5,1,0,1
